[generator] Loaded 690 enriched chunks
[generator] Chapter filter ['A', 'B', 'C'] → 48 chunks
[generator] Backend: ollama  Machine: mac  Seed: 42  Workers: 1
[generator] Scheduled 390 tasks → target 300 pairs  (+30 % buffer for filter rate)

[generator] 0 already done, 390 pending

  [284/390] C-7 procedural ... FILTERED (thinking trace does not cite a paragraph ID)
  [285/390] C-9 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [286/390] B-1 procedural ... FILTERED (thinking trace does not cite a paragraph ID)
  [generator] Ollama error: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)
  [287/390] B-3 echelon_specific ... FAILED (no JSON)
  [288/390] C-32 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [289/390] C-34 procedural ... FILTERED (thinking trace does not cite a paragraph ID)
  [290/390] C-21 applied_reasoning ... FILTERED (thinking trace does not cite a paragraph ID)
  [generator] Ollama error: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)
  [291/390] C-23 cross_step ... FAILED (no JSON)
  [292/390] B-1 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [293/390] C-8 product_generation ... FILTERED (thinking trace does not cite a paragraph ID)
  [294/390] C-5 applied_reasoning ... FILTERED (thinking trace does not cite a paragraph ID)
  [295/390] A-1 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [296/390] C-26 product_generation ... FILTERED (thinking trace does not cite a paragraph ID)
  [297/390] B-3 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [298/390] C-22 cross_step ... FILTERED (thinking trace does not cite a paragraph ID)
  [299/390] C-23 factual ... FILTERED (thinking trace does not cite a paragraph ID)
  [300/390] B-2 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [301/390] C-18 product_generation ... FILTERED (thinking trace does not cite a paragraph ID)
  [302/390] C-29 cross_step ... FILTERED (thinking trace does not cite a paragraph ID)
  [303/390] C-17 cross_step ... FILTERED (thinking trace does not cite a paragraph ID)
  [304/390] C-36 cross_step ... FILTERED (thinking trace does not cite a paragraph ID)
  [305/390] C-16 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [306/390] C-12 factual ... FILTERED (answer too short (49 words))
  [307/390] C-24 cross_step ... FILTERED (thinking trace does not cite a paragraph ID)
  [308/390] C-7 echelon_specific ... FILTERED (answer too short (49 words))
  [309/390] C-19 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [310/390] C-28 multi_domain ... FILTERED (thinking trace does not cite a paragraph ID)
  [311/390] C-14 cross_step ... FILTERED (thinking trace does not cite a paragraph ID)
  [312/390] C-8 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [313/390] C-32 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [314/390] C-25 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [315/390] C-37 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [316/390] B-1 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [317/390] C-10 procedural ... FILTERED (thinking trace does not cite a paragraph ID)
  [318/390] C-30 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [319/390] C-31 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
